file_path|file_hash|file_size|last_modi
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00aa0de8934e10fd2e29d470dd26c6c5056b5dc0|not_an_image_or_video|3840|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00aae8ca0e8ab4248117e7f6a00cfbf8cc73c26a|not_an_image_or_video|8448|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00ab5dd88166905605ba3878ebc376da08fa29f0|not_an_image_or_video|1840|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00abcfa30e07849e76344beda7144156ac1bd1aa|not_an_image_or_video|1392|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00aecfa0c5ad9258f8d144c64d0bb96b1138609a|not_an_image_or_video|5200|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b06856ca04de62c181c80fb9cb2d58577094a6|not_an_image_or_video|3392|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b0a6543e635b9efac4ed8f7d2bad7c6fe0a942|not_an_image_or_video|186912|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b3c80c1e2ee043178fb0554d587e7f3a0f8962|not_an_image_or_video|6352|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b3e62f7c3de5278d0422e4b607b9b165fb9699|not_an_image_or_video|3216|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b6b449d96aa644e6f61a0229989c6ea77e1d3a|not_an_image_or_video|3280|20200621
F:\iPhoneBackUp\79ae05dc0c645b18ccb3aa8868dce7cb4e3bec8f\00\00b7d682a1ce2b630cd5c5e0fae84e99756c5e8a|not_an_image_or_video|33936|20200621
